0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 1.28372e-12 1.22933e-11 6.2484e-11 2.35592e-10 7.29468e-10 1.93624e-09 4.50023e-09 9.26416e-09 1.70036e-08 2.7938e-08 4.12044e-08 5.46606e-08 6.53373e-08 7.04965e-08 6.87869e-08 6.08232e-08 4.88482e-08 3.57218e-08 2.38509e-08 1.45823e-08 8.18887e-09 4.23701e-09 2.02633e-09 8.98541e-10 3.70555e-10 1.42522e-10 5.12537e-11 1.72707e-11 5.46177e-12 1.62249e-12 4.52707e-13 1.18471e-13 2.89769e-14 6.5803e-15 1.37067e-15 2.56094e-16 4.10496e-17 5.08942e-18 3.48454e-19 0 
0 1.22933e-11 1.2197e-10 6.4254e-10 2.51001e-09 8.04323e-09 2.20562e-08 5.28356e-08 1.1178e-07 2.10145e-07 3.5236e-07 5.28235e-07 7.09343e-07 8.54699e-07 9.25687e-07 9.02943e-07 7.94992e-07 6.33369e-07 4.57877e-07 3.01272e-07 1.81009e-07 9.9647e-08 5.04416e-08 2.35629e-08 1.01935e-08 4.09788e-09 1.53579e-09 5.38146e-10 1.76744e-10 5.4513e-11 1.58083e-11 4.31106e-12 1.10429e-12 2.64843e-13 5.90899e-14 1.21203e-14 2.23559e-15 3.54753e-16 4.36741e-17 2.97872e-18 0 
0 6.2484e-11 6.4254e-10 3.51032e-09 1.42172e-08 4.71867e-08 1.33789e-07 3.30587e-07 7.19316e-07 1.38607e-06 2.37313e-06 3.618e-06 4.91999e-06 5.97751e-06 6.49999e-06 6.33922e-06 5.55808e-06 4.393e-06 3.1396e-06 2.03573e-06 1.20192e-06 6.4863e-07 3.21224e-07 1.46572e-07 6.1866e-08 2.42484e-08 8.85771e-09 3.0255e-09 9.69064e-10 2.91727e-10 8.26665e-11 2.20616e-11 5.54016e-12 1.30532e-12 2.86798e-13 5.80877e-14 1.06115e-14 1.67318e-15 2.05391e-16 1.40173e-17 0 
0 2.35592e-10 2.51001e-09 1.42172e-08 5.96912e-08 2.05179e-07 6.01476e-07 1.53303e-06 3.4307e-06 6.7759e-06 1.18461e-05 1.83668e-05 2.52936e-05 3.09886e-05 3.38381e-05 3.30039e-05 2.88267e-05 2.26136e-05 1.59856e-05 1.02203e-05 5.93342e-06 3.14108e-06 1.52297e-06 6.79325e-07 2.80001e-07 1.07103e-07 3.81744e-08 1.27257e-08 3.98057e-09 1.17145e-09 3.24964e-10 8.50491e-11 2.09895e-11 4.87224e-12 1.05768e-12 2.12335e-13 3.85829e-14 6.07382e-15 7.4721e-16 5.1291e-17 0 
0 7.29468e-10 8.04323e-09 4.71867e-08 2.05179e-07 7.29774e-07 2.21005e-06 5.80597e-06 1.33537e-05 2.70164e-05 4.82011e-05 7.5964e-05 0.000105903 0.000130814 0.000143447 0.000139971 0.000121865 9.49662e-05 6.64719e-05 4.19553e-05 2.39814e-05 1.24708e-05 5.92837e-06 2.58896e-06 1.04373e-06 3.90297e-07 1.3599e-07 4.43332e-08 1.35728e-08 3.91444e-09 1.06595e-09 2.74437e-10 6.67959e-11 1.53368e-11 3.30434e-12 6.6083e-13 1.20094e-13 1.89841e-14 2.35408e-15 1.63411e-16 0 
0 1.93624e-09 2.20562e-08 1.33789e-07 6.01476e-07 2.21005e-06 6.90367e-06 1.86664e-05 4.40642e-05 9.11972e-05 0.000165841 0.000265367 0.000374167 0.000465706 0.000512786 0.000500786 0.000435031 0.00033724 0.000234138 0.000146175 8.24327e-05 4.21975e-05 1.97107e-05 8.44653e-06 3.33853e-06 1.22353e-06 4.1786e-07 1.33605e-07 4.01611e-08 1.13901e-08 3.05642e-09 7.77399e-10 1.87499e-10 4.28112e-11 9.20828e-12 1.84615e-12 3.37759e-13 5.39616e-14 6.78478e-15 4.78596e-16 0 
0 4.50023e-09 5.28356e-08 3.30587e-07 1.53303e-06 5.80597e-06 1.86664e-05 5.18357e-05 0.00012533 0.000264809 0.000489821 0.000794222 0.00113068 0.00141633 0.00156526 0.00153069 0.0013286 0.00102677 0.000708949 0.000439056 0.000245003 0.000123827 5.70037e-05 2.4043e-05 9.34648e-06 3.36825e-06 1.13154e-06 3.56203e-07 1.05569e-07 2.95791e-08 7.86146e-09 1.98666e-09 4.77805e-10 1.09235e-10 2.3628e-11 4.78462e-12 8.87647e-13 1.44255e-13 1.84852e-14 1.3295e-15 0 
0 9.26416e-09 1.1178e-07 7.19316e-07 3.4307e-06 1.33537e-05 4.40642e-05 0.00012533 0.000309521 0.000665744 0.00124884 0.00204574 0.0029324 0.00368922 0.00408847 0.00400571 0.00348077 0.00269005 0.00185418 0.00114374 0.00063412 0.000317684 0.00014469 6.03004e-05 2.31471e-05 8.23719e-06 2.73436e-06 8.51638e-07 2.5021e-07 6.96754e-08 1.84639e-08 4.67004e-09 1.12899e-09 2.60623e-10 5.71773e-11 1.17893e-11 2.23344e-12 3.71182e-13 4.86311e-14 3.56971e-15 0 
0 1.70036e-08 2.10145e-07 1.38607e-06 6.7759e-06 2.70164e-05 9.11972e-05 0.000264809 0.000665744 0.00145243 0.00275221 0.00453597 0.00652124 0.00821533 0.00911653 0.00895339 0.00780816 0.00605891 0.00418996 0.00258806 0.00143317 0.000715296 0.000323882 0.000134012 5.10474e-05 1.8032e-05 5.94819e-06 1.84442e-06 5.40909e-07 1.50859e-07 4.02008e-08 1.02712e-08 2.52022e-09 5.93163e-10 1.33178e-10 2.81717e-11 5.47969e-12 9.34045e-13 1.25175e-13 9.36129e-15 0 
